"31","Bulgaria","Australia Group; BIS; BSEC; CD; CE; CEI; CERN; EAPC; EBRD; EIB; EU; FAO; G- 9; IAEA; IBRD; ICAO; ICC (national committees); ICRM; IDA; IFC; IFRCS; IHO (pending member); ILO; IMF; IMO; IMSO; Interpol; IOC; IOM; IPU; ISO; ITSO; ITU; ITUC (NGOs); MIGA; NATO; NSG; OAS (observer); OIF; OPCW; OSCE; PCA; SELEC; UN; UNCTAD; UNESCO; UNHCR; UNIDO; UNMIL; UNWTO; UPU; WCO; WFTU (NGOs); WHO; WIPO; WMO; WTO; ZC"
"32","Burkina Faso","ACP; AfDB; AU; CD; ECOWAS; EITI (candidate country); Entente; FAO; FZ; G-77; IAEA; IBRD; ICAO; ICC (NGOs); ICRM; IDA; IDB; IFAD; IFC; IFRCS; ILO; IMF; Interpol; IOC; IOM; IPU; ISO (correspondent); ITSO; ITU; ITUC (NGOs); MIGA; MONUSCO; NAM; OIC; OIF; OPCW; PCA; UN; UNAMID; UNCTAD; UNESCO; UNIDO; UNISFA; UNITAR; UNWTO; UPU; WADB (regional); WAEMU; WCO; WFTU (NGOs); WHO; WIPO; WMO; WTO"
"33","Burma","ADB; ARF; ASEAN; BIMSTEC; CP; EAS; FAO; G-77; IAEA; IBRD; ICAO; ICRM; IDA; IFAD; IFC; IFRCS; IHO; ILO; IMF; IMO; Interpol; IOC; IOM; IPU; ISO (correspondent); ITU; ITUC (NGOs); NAM; OPCW (signatory); SAARC (observer); UN; UNCTAD; UNESCO; UNIDO; UNWTO; UPU; WCO; WHO; WIPO; WMO; WTO"
"34","Burundi","ACP; AfDB; AU; CEPGL; COMESA; EAC; FAO; G-77; IAEA; IBRD; ICAO; ICRM; IDA; IFAD; IFC; IFRCS; ILO; IMF; Interpol; IOC; IOM; IPU; ISO (correspondent); ITU; ITUC (NGOs); MIGA; NAM; OIF; OPCW; UN; UNAMID; UNCTAD; UNESCO; UNIDO; UNISFA; UNWTO; UPU; WCO; WHO; WIPO; WMO; WTO"
"35","Cabo Verde","ACP; AfDB; AOSIS; AU; CD; CPLP; ECOWAS; FAO; G-77; IAEA; IBRD; ICAO; ICRM; IDA; IFAD; IFC; IFRCS; ILO; IMF; IMO; Interpol; IOC; IOM; IPU; ITSO; ITU; ITUC (NGOs); MIGA; NAM; OIF; OPCW; UN; UNCTAD; UNESCO; UNIDO; Union Latina; UNWTO; UPU; WCO; WHO; WIPO; WMO; WTO"
"36","Cambodia","ADB; ARF; ASEAN; CICA; CICA (observer); EAS; FAO; G-77; IAEA; IBRD; ICAO; ICRM; IDA; IFAD; IFC; IFRCS; ILO; IMF; IMO; Interpol; IOC; IOM; IPU; ISO (correspondent); ITU; MIGA; NAM; OIF; OPCW; PCA; UN; UNCTAD; UNESCO; UNIDO; UNIFIL; UNMISS; UNWTO; UPU; WCO; WFTU (NGOs); WHO; WIPO; WMO; WTO"
"37","Cameroon","ACP; AfDB; AU; BDEAC; C; CEMAC; EITI (candidate country); FAO; FZ; G-77; IAEA; IBRD; ICAO; ICC (national committees); ICRM; IDA; IDB; IFAD; IFC; IFRCS; IHO; ILO; IMF; IMO; IMSO; Interpol; IOC; IOM; IPU; ISO; ITSO; ITU; ITUC (NGOs); MIGA; MONUSCO; NAM; OIC; OIF; OPCW; PCA; UN; UNAMID; UNCTAD; UNESCO; UNHCR; UNIDO; UNWTO; UPU; WCO; WFTU (NGOs); WHO; WIPO; WMO; WTO"
"38","Canada","ADB (nonregional member); AfDB (nonregional member); APEC; Arctic Council; ARF; ASEAN (dialogue partner); Australia Group; BIS; C; CD; CDB; CE (observer); EAPC; EBRD; EITI (implementing country); FAO; FATF; G-20; G-7; G-8; G-10; IADB; IAEA; IBRD; ICAO; ICC (national committees); ICRM; IDA; IEA; IFAD; IFC; IFRCS; IGAD (partners); IHO; ILO; IMF; IMO; IMSO; Interpol; IOC; IOM; IPU; ISO; ITSO; ITU; ITUC (NGOs); MIGA; MINUSTAH; MONUSCO; NAFTA; NATO; NEA; NSG; OAS; OECD; OIF; OPCW; OSCE; Paris Club; PCA; PIF (partner); UN; UNAMID; UNCTAD; UNESCO; UNFICYP; UNHCR; UNMISS; UNRWA; UNTSO; UPU; WCO; WFTU (NGOs); WHO; WIPO; WMO; WTO; ZC"
"39","Cayman Islands","Caricom (associate); CDB; Interpol (subbureau); IOC; UNESCO (associate); UPU"
"40","Central African Republic","ACP; AfDB; AU; BDEAC; CEMAC; EITI (compliant country); FAO; FZ; G-77; IAEA; IBRD; ICAO; ICRM; IDA; IFAD; IFC; IFRCS; ILO; IMF; Interpol; IOC; IOM; ITSO; ITU; ITUC (NGOs); MIGA; NAM; OIC; OIF; OPCW; UN; UNCTAD; UNESCO; UNIDO; UNWTO; UPU; WCO; WHO; WIPO; WMO; WTO"
