Result Number,Data Source,Result Row,Source Page URL,Country,International organization participation
24,World Factbook internation organizations,24,https://www.cia.gov/library/publications/the-world-factbook/fields/2107.html,Bermuda,Caricom (associate); ICC (NGOs); Interpol (subbureau); IOC; ITUC (NGOs); UPU; WCO
25,World Factbook internation organizations,25,https://www.cia.gov/library/publications/the-world-factbook/fields/2107.html,Bhutan,ADB; BIMSTEC; CP; FAO; G-77; IBRD; ICAO; IDA; IFAD; IFC; IMF; Interpol; IOC; IOM (observer); ISO (correspondent); ITSO; ITU; NAM; OPCW; SAARC; SACEP; UN; UNCTAD; UNESCO; UNIDO; UNWTO; UPU; WCO; WHO; WIPO; WMO; WTO (observer)
26,World Factbook internation organizations,26,https://www.cia.gov/library/publications/the-world-factbook/fields/2107.html,Bolivia,CAN; CD; CELAC; FAO; G-77; IADB; IAEA; IBRD; ICAO; ICC (national committees); ICRM; IDA; IFAD; IFC; IFRCS; ILO; IMF; IMO; Interpol; IOC; IOM; IPU; ISO (correspondent); ITSO; ITU; LAES; LAIA; Mercosur (associate); MIGA; MINUSTAH; MONUSCO; NAM; OAS; OPANAL; OPCW; PCA; UN; UNASUR; UNCTAD; UNESCO; UNFICYP; UNIDO; Union Latina; UNISFA; UNMIL; UNMISS; UNOCI; UNWTO; UPU; WCO; WFTU (NGOs); WHO; WIPO; WMO; WTO
27,World Factbook internation organizations,27,https://www.cia.gov/library/publications/the-world-factbook/fields/2107.html,Bosnia and Herzegovina,BIS; CD; CE; CEI; EAPC; EBRD; FAO; G-77; IAEA; IBRD; ICAO; ICC (NGOs); ICRM; IDA; IFAD; IFC; IFRCS; ILO; IMF; IMO; IMSO; Interpol; IOC; IOM; IPU; ISO; ITSO; ITU; ITUC (NGOs); MIGA; MONUSCO; NAM (observer); OAS (observer); OIC (observer); OIF (observer); OPCW; OSCE; PFP; SELEC; UN; UNCTAD; UNESCO; UNIDO; UNWTO; UPU; WCO; WHO; WIPO; WMO; WTO (observer)
28,World Factbook internation organizations,28,https://www.cia.gov/library/publications/the-world-factbook/fields/2107.html,Botswana,ACP; AfDB; AU; C; CD; FAO; G-77; IAEA; IBRD; ICAO; ICRM; IDA; IFAD; IFC; IFRCS; ILO; IMF; Interpol; IOC; IOM; IPU; ISO; ITSO; ITU; ITUC (NGOs); MIGA; NAM; OPCW; SACU; SADC; UN; UNCTAD; UNESCO; UNIDO; UNWTO; UPU; WCO; WFTU (NGOs); WHO; WIPO; WMO; WTO
29,World Factbook internation organizations,29,https://www.cia.gov/library/publications/the-world-factbook/fields/2107.html,Brazil,AfDB (nonregional member); BIS; BRICS; CAN (associate); CD; CELAC; CPLP; FAO; FATF; G-15; G-20; G-24; G-77; IADB; IAEA; IBRD; ICAO; ICC (national committees); ICRM; IDA; IFAD; IFC; IFRCS; IHO; ILO; IMF; IMO; IMSO; Interpol; IOC; IOM; IPU; ISO; ITSO; ITU; ITUC (NGOs); LAES; LAIA; LAS (observer); Mercosur; MIGA; MINURSO; MINUSTAH; NAM (observer); NSG; OAS; OECD (Enhanced Engagement; OPANAL; OPCW; Paris Club (associate); PCA; SICA (observer); UN; UNASUR; UNCTAD; UNESCO; UNFICYP; UNHCR; UNIDO; UNIFIL; Union Latina; UNISFA; UNITAR; UNMIL; UNMISS; UNMIT; UNOCI; UNWTO; UPU; WCO; WFTU (NGOs); WHO; WIPO; WMO; WTO
30,World Factbook internation organizations,30,https://www.cia.gov/library/publications/the-world-factbook/fields/2107.html,British Virgin Islands,Caricom (associate); CDB; Interpol (subbureau); IOC; OECS; UNESCO (associate); UPU
31,World Factbook internation organizations,31,https://www.cia.gov/library/publications/the-world-factbook/fields/2107.html,Brunei,ADB; APEC; ARF; ASEAN; C; CP; EAS; G-77; IBRD; ICAO; ICC (NGOs); ICRM; IDA; IDB; IFRCS; ILO; IMF; IMO; IMSO; Interpol; IOC; ISO (correspondent); ITSO; ITU; NAM; OIC; OPCW; UN; UNCTAD; UNESCO; UNIFIL; UNWTO; UPU; WCO; WHO; WIPO; WMO; WTO
32,World Factbook internation organizations,32,https://www.cia.gov/library/publications/the-world-factbook/fields/2107.html,Bulgaria,Australia Group; BIS; BSEC; CD; CE; CEI; CERN; EAPC; EBRD; EIB; EU; FAO; G- 9; IAEA; IBRD; ICAO; ICC (national committees); ICRM; IDA; IFC; IFRCS; IHO (pending member); ILO; IMF; IMO; IMSO; Interpol; IOC; IOM; IPU; ISO; ITSO; ITU; ITUC (NGOs); MIGA; NATO; NSG; OAS (observer); OIF; OPCW; OSCE; PCA; SELEC; UN; UNCTAD; UNESCO; UNHCR; UNIDO; UNMIL; UNWTO; UPU; WCO; WFTU (NGOs); WHO; WIPO; WMO; WTO; ZC
33,World Factbook internation organizations,33,https://www.cia.gov/library/publications/the-world-factbook/fields/2107.html,Burkina Faso,ACP; AfDB; AU; CD; ECOWAS; EITI (candidate country); Entente; FAO; FZ; G-77; IAEA; IBRD; ICAO; ICC (NGOs); ICRM; IDA; IDB; IFAD; IFC; IFRCS; ILO; IMF; Interpol; IOC; IOM; IPU; ISO (correspondent); ITSO; ITU; ITUC (NGOs); MIGA; MONUSCO; NAM; OIC; OIF; OPCW; PCA; UN; UNAMID; UNCTAD; UNESCO; UNIDO; UNISFA; UNITAR; UNWTO; UPU; WADB (regional); WAEMU; WCO; WFTU (NGOs); WHO; WIPO; WMO; WTO
